0/2999 4,8G 0,1193 0,0233 0,05293 0,1956 65 416 0,0001875 0,01667 3,9e-05 3,9e-06 0,1039 0,02353 0,05104
1/2999 4,8G 0,1064 0,02446 0,04911 0,18 49 416 0,7247 0,08333 0,04262 0,007145 0,08764 0,026 0,0483
2/2999 4,8G 0,08699 0,02764 0,04582 0,1604 85 416 0,3989 0,2383 0,05141 0,01431 0,07109 0,02622 0,04435
3/2999 4,8G 0,0732 0,02529 0,04391 0,1424 74 416 0,4554 0,3103 0,1352 0,04192 0,06994 0,02177 0,04221
4/2999 4,8G 0,07178 0,0217 0,04282 0,1363 61 416 0,148 0,3881 0,1906 0,04661 0,0639 0,02047 0,03971
5/2999 4,8G 0,06737 0,02124 0,03893 0,1275 98 416 0,4455 0,351 0,2667 0,0889 0,06334 0,01811 0,03576
6/2999 4,8G 0,06522 0,01982 0,03617 0,1212 83 416 0,5552 0,3925 0,3585 0,09962 0,05796 0,0172 0,03163
7/2999 4,8G 0,06524 0,0206 0,03218 0,118 89 416 0,4177 0,4918 0,359 0,08628 0,06297 0,01538 0,0263
8/2999 4,8G 0,06384 0,02006 0,02984 0,1137 74 416 0,4471 0,5968 0,4091 0,1506 0,05946 0,01672 0,02086
9/2999 4,8G 0,06346 0,01943 0,02437 0,1073 88 416 0,8164 0,3602 0,5185 0,1979 0,05785 0,01606 0,01663
10/2999 4,8G 0,06334 0,01878 0,02037 0,1025 65 416 0,4113 0,6373 0,4043 0,1101 0,05844 0,0154 0,01189
11/2999 4,8G 0,06186 0,01899 0,01706 0,09791 86 416 0,5493 0,5847 0,5703 0,2148 0,0549 0,01577 0,008708
12/2999 4,8G 0,06379 0,01824 0,0142 0,09623 83 416 0,3385 0,7565 0,4331 0,1268 0,06312 0,01495 0,007483
13/2999 4,8G 0,06589 0,01803 0,01287 0,09678 73 416 0,5263 0,7569 0,5812 0,2176 0,05945 0,01369 0,005861
14/2999 4,8G 0,06489 0,01793 0,01162 0,09445 73 416 0,4078 0,7415 0,6346 0,2589 0,05613 0,01408 0,004991
15/2999 4,8G 0,063 0,01757 0,009788 0,09035 63 416 0,3995 0,7212 0,5095 0,1891 0,06185 0,01341 0,004898
16/2999 4,8G 0,06286 0,01634 0,008887 0,08809 57 416 0,5976 0,6044 0,654 0,2715 0,05264 0,01401 0,004208
17/2999 4,8G 0,06188 0,01745 0,008025 0,08736 103 416 0,6023 0,6703 0,6754 0,2421 0,05297 0,0141 0,004246
18/2999 4,8G 0,05788 0,01765 0,007651 0,08318 64 416 0,7013 0,5754 0,6099 0,2373 0,05276 0,01315 0,003545
19/2999 4,8G 0,05972 0,01767 0,006858 0,08425 79 416 0,7449 0,6212 0,6921 0,3135 0,04881 0,01314 0,003602
20/2999 4,8G 0,05996 0,01689 0,006913 0,08377 77 416 0,5662 0,3762 0,4011 0,1108 0,06935 0,01416 0,005389
21/2999 4,8G 0,06574 0,0167 0,007419 0,08986 70 416 0,7621 0,5129 0,5992 0,2335 0,0583 0,01351 0,003682
22/2999 4,8G 0,06076 0,01715 0,006218 0,08413 63 416 0,5207 0,5671 0,5223 0,1914 0,05135 0,01355 0,003471
23/2999 4,8G 0,05787 0,01678 0,006474 0,08113 81 416 0,4841 0,62 0,5913 0,2267 0,05089 0,01437 0,004026
24/2999 4,8G 0,05792 0,01678 0,006711 0,08141 67 416 0,7045 0,5612 0,5907 0,2347 0,0502 0,0149 0,004093
25/2999 4,8G 0,05685 0,01673 0,005937 0,07952 66 416 0,6009 0,8238 0,7674 0,3301 0,05025 0,01285 0,003275
26/2999 4,8G 0,05582 0,01643 0,006298 0,07855 67 416 0,7382 0,5811 0,6613 0,2289 0,05282 0,0158 0,007851
27/2999 4,8G 0,05309 0,0179 0,006601 0,07758 92 416 0,5452 0,7362 0,6642 0,2532 0,04894 0,01325 0,003312
28/2999 4,8G 0,05468 0,01785 0,006034 0,07857 93 416 0,5691 0,6649 0,6201 0,246 0,05061 0,01392 0,005143
29/2999 4,8G 0,05351 0,01775 0,005919 0,07718 73 416 0,6565 0,7745 0,7357 0,2887 0,05518 0,01389 0,003942
30/2999 4,8G 0,05174 0,01697 0,00552 0,07423 65 416 0,6432 0,762 0,7227 0,3029 0,05056 0,01291 0,00258
31/2999 4,8G 0,05382 0,01697 0,005163 0,07596 96 416 0,6753 0,7429 0,6897 0,2766 0,04699 0,01278 0,002924
32/2999 4,8G 0,05278 0,01689 0,004723 0,0744 77 416 0,6896 0,6662 0,6889 0,281 0,04889 0,01315 0,002931
33/2999 4,8G 0,0511 0,01639 0,004292 0,07178 58 416 0,7304 0,6914 0,7315 0,2792 0,04761 0,01368 0,003097
34/2999 4,8G 0,05208 0,01601 0,004877 0,07297 73 416 0,6012 0,7935 0,6845 0,2821 0,04884 0,01371 0,003006
35/2999 4,8G 0,05197 0,01603 0,00504 0,07303 89 416 0,7387 0,5965 0,7009 0,3005 0,0485 0,01304 0,002409
36/2999 4,8G 0,04932 0,01682 0,004253 0,0704 91 416 0,7377 0,6816 0,7351 0,2826 0,04775 0,01347 0,001989
37/2999 4,8G 0,04964 0,01686 0,004064 0,07057 74 416 0,7306 0,6829 0,6982 0,2781 0,04836 0,01557 0,002898
38/2999 4,8G 0,05071 0,01593 0,004485 0,07112 53 416 0,661 0,769 0,7483 0,3069 0,04752 0,01301 0,003046
39/2999 4,8G 0,04956 0,01614 0,005236 0,07094 75 416 0,6222 0,7966 0,7346 0,3306 0,04465 0,01251 0,002627
40/2999 4,8G 0,04976 0,01615 0,004568 0,07048 40 416 0,7209 0,5641 0,6405 0,2413 0,05293 0,01593 0,002919
41/2999 4,8G 0,04695 0,01656 0,00453 0,06804 83 416 0,7089 0,7519 0,7387 0,2802 0,05233 0,01385 0,00182
42/2999 4,8G 0,04824 0,01631 0,00385 0,06839 89 416 0,7293 0,7311 0,7518 0,2899 0,04865 0,01428 0,002132
43/2999 4,8G 0,04883 0,01539 0,004665 0,06888 63 416 0,5763 0,6858 0,6731 0,2787 0,05162 0,01344 0,002382
44/2999 4,8G 0,04819 0,01612 0,0043 0,06862 59 416 0,6509 0,7372 0,7323 0,3062 0,04565 0,01304 0,001685
45/2999 4,8G 0,04853 0,01646 0,004042 0,06903 64 416 0,6548 0,7699 0,7871 0,3144 0,048 0,01264 0,002114
46/2999 4,8G 0,04755 0,01611 0,004012 0,06767 86 416 0,7042 0,8275 0,8115 0,3509 0,04285 0,0126 0,00165
